image_name,component_type,component_id,area,residual_mean,residual_median,residual_q10,residual_q90,centroid_y,centroid_x
001137,gt_target,1,9,6.76509608162774,6.834701061248779,4.35980453491211,8.651559257507325,32.0,231.0
001137,matched_target_prediction,1,9,6.76509608162774,6.834701061248779,4.35980453491211,8.651559257507325,32.0,231.0
000345,gt_target,1,5,7.028413200378418,5.724126815795898,5.564673519134521,9.75252208709717,250.0,249.0
000345,matched_target_prediction,1,5,7.028413200378418,5.724126815795898,5.564673519134521,9.75252208709717,250.0,249.0
000774,gt_target,1,13,7.65243754020104,8.204131126403809,2.073364877700806,12.070149803161621,3.3846153846153846,153.3846153846154
000774,matched_target_prediction,1,16,6.928658461198211,7.335291385650635,1.8416157960891724,12.019172668457031,3.5625,153.625
000593,gt_target,1,61,3.9315614622147357,4.096930980682373,2.5112626552581787,5.714967727661133,88.08196721311475,165.29508196721312
000593,matched_target_prediction,1,62,3.8819845568749214,4.059382438659668,2.4825660228729247,5.714443731307983,88.06451612903226,165.24193548387098
001002,gt_target,1,51,3.7228255014793548,3.7120440006256104,1.9391933679580688,5.44996976852417,238.84313725490196,143.7058823529412
001002,matched_target_prediction,1,54,3.739575642126578,3.6852866411209106,2.224879336357117,5.446813488006592,238.77777777777777,143.83333333333334
001024,gt_target,1,47,2.8426401960722942,2.7644219398498535,1.2127516746520997,4.359523677825927,43.170212765957444,130.85106382978722
001024,matched_target_prediction,1,44,2.79425418546254,2.7465062141418457,1.175277054309845,4.382082414627075,43.04545454545455,130.36363636363637
001285,gt_target,1,21,2.967440202122643,2.978243112564087,1.618338704109192,4.488483428955078,130.47619047619048,38.857142857142854
001285,matched_target_prediction,1,22,2.933832125230269,2.9346413612365723,1.6252759456634522,4.413344860076906,130.22727272727272,38.90909090909091
000649,gt_target,1,18,3.4835658404562206,3.819156527519226,1.672235679626465,5.078987646102905,51.666666666666664,102.5
000649,gt_target,2,17,3.2007723696091595,3.4635069370269775,2.046415996551514,4.18832950592041,96.94117647058823,118.23529411764706
000649,matched_target_prediction,1,24,3.3463038007418313,3.0538463592529297,1.9265416502952575,4.927852535247802,52.208333333333336,102.79166666666667
000649,matched_target_prediction,2,18,3.2693898015552096,3.2966372966766357,2.3354851961135865,4.182427024841308,97.27777777777777,118.38888888888889
000282,gt_target,1,58,4.327042160363033,4.415636777877808,2.981229066848755,5.47890796661377,248.06896551724137,83.37931034482759
000282,matched_target_prediction,1,59,4.335567902710478,4.429072380065918,2.98256516456604,5.317454147338868,248.03389830508473,83.22033898305085
000037,gt_target,1,9,5.264889319737752,5.628732204437256,4.045125532150268,6.263564491271973,122.0,122.0
000037,matched_target_prediction,1,9,5.264889319737752,5.628732204437256,4.045125532150268,6.263564491271973,122.0,122.0
001150,gt_target,1,9,9.192817211151123,9.969532012939453,6.841963768005371,11.130705261230469,88.0,89.0
001150,matched_target_prediction,1,9,9.192817211151123,9.969532012939453,6.841963768005371,11.130705261230469,88.0,89.0
001124,gt_target,1,9,7.186275535159641,7.702994346618652,5.4597657203674315,8.615202903747559,97.0,200.0
001124,matched_target_prediction,1,9,7.186275535159641,7.702994346618652,5.4597657203674315,8.615202903747559,97.0,200.0
001185,gt_target,1,9,9.150333563486734,9.978546142578125,7.023194789886475,10.860808181762696,124.0,168.0
001185,gt_target,2,9,8.874386204613579,9.6914644241333,6.73093204498291,10.53067798614502,166.0,194.0
001185,matched_target_prediction,1,9,9.150333563486734,9.978546142578125,7.023194789886475,10.860808181762696,124.0,168.0
001185,matched_target_prediction,2,9,8.874386204613579,9.6914644241333,6.73093204498291,10.53067798614502,166.0,194.0
000718,gt_target,1,28,3.3745503489460265,3.569172978401184,1.0000396609306337,5.360098600387573,21.071428571428573,47.142857142857146
000718,gt_target,2,28,3.5520122540848598,3.875080704689026,1.473900604248047,5.190728855133057,245.21428571428572,162.17857142857142
000718,matched_target_prediction,1,28,3.4825193488172124,3.569172978401184,1.2026631236076355,5.360098600387573,21.714285714285715,47.214285714285715
000718,matched_target_prediction,2,30,3.470803493261337,3.733356237411499,1.5977124094963073,5.184946918487549,245.96666666666667,162.26666666666668
000968,gt_target,1,49,3.2442454221297283,3.3831002712249756,2.1960849285125734,4.189979362487793,98.46938775510205,77.73469387755102
000968,matched_target_prediction,1,49,3.2753254029215597,3.3831002712249756,2.2338918685913085,4.189979362487793,98.46938775510205,77.53061224489795
001216,gt_target,1,9,5.11225077841017,5.345427513122559,3.7262148380279543,6.388042449951172,164.0,130.0
001216,matched_target_prediction,1,9,5.11225077841017,5.345427513122559,3.7262148380279543,6.388042449951172,164.0,130.0
000494,gt_target,1,58,2.6603400070091774,2.503920793533325,1.767371952533722,3.855279207229615,29.20689655172414,96.0
000494,gt_target,2,69,3.896829871163852,4.077243328094482,1.9972180128097534,5.5669248580932615,160.59420289855072,46.79710144927536
000494,matched_target_prediction,1,55,2.7485098752108486,2.590245246887207,1.854993724822998,3.9033408164978027,29.10909090909091,96.12727272727273
000494,matched_target_prediction,2,79,3.777348222611826,3.8969359397888184,1.967439103126526,5.472019767761231,160.65822784810126,46.848101265822784
001015,gt_target,1,68,5.905362471061594,5.987185955047607,3.8775733947753905,7.789619493484497,173.76470588235293,182.33823529411765
001015,matched_target_prediction,1,68,5.898247482145534,5.987185955047607,3.776191520690918,7.789619493484497,173.76470588235293,182.5441176470588
001186,gt_target,1,9,10.45763111114502,11.232061386108398,7.755723667144776,12.563992309570313,86.0,22.0
001186,gt_target,2,9,10.17057032055325,10.894949913024902,7.690235710144043,12.238741683959962,151.0,229.0
001186,matched_target_prediction,1,9,10.45763111114502,11.232061386108398,7.755723667144776,12.563992309570313,86.0,22.0
001186,matched_target_prediction,2,9,10.17057032055325,10.894949913024902,7.690235710144043,12.238741683959962,151.0,229.0
000197,gt_target,1,28,1.6744310017675161,1.6634464859962463,0.3263352632522583,3.0149405241012572,127.5,127.14285714285714
000197,gt_target,2,28,5.43611882094826,6.2076263427734375,2.1264577150344848,8.523752403259277,198.85714285714286,251.5
000197,matched_target_prediction,1,30,1.5884462278646727,1.6381717324256897,0.2707586079835892,2.985734868049622,128.1,127.03333333333333
000197,matched_target_prediction,2,29,5.292447335761169,6.189504146575928,1.7292919158935547,8.521152305603028,199.75862068965517,251.44827586206895
000811,gt_target,1,17,4.313318995868459,4.480656623840332,1.9047113895416259,6.348971462249756,127.29411764705883,126.70588235294117
000811,gt_target,2,17,5.179787495557,5.391818523406982,2.6607209205627442,7.58822660446167,138.0,139.23529411764707
000811,matched_target_prediction,1,13,5.068817138671875,4.883657932281494,3.042401695251465,6.602631282806397,127.76923076923077,126.76923076923077
000811,matched_target_prediction,2,16,5.4120723605155945,5.478917360305786,3.11231791973114,7.62240195274353,138.5,139.375
000601,gt_target,1,58,6.605446145452302,6.6579978466033936,3.375865626335144,10.383603763580322,17.017241379310345,248.6551724137931
000601,matched_target_prediction,1,58,6.605446145452302,6.6579978466033936,3.375865626335144,10.383603763580322,17.017241379310345,248.6551724137931
001040,gt_target,1,66,5.181790153185527,5.068113327026367,3.4927687644958496,6.7821643352508545,128.9848484848485,45.68181818181818
001040,matched_target_prediction,1,62,5.351858788920987,5.0940916538238525,3.9282814979553224,6.79018988609314,129.0,45.935483870967744
000735,gt_target,1,31,3.9442165147873665,4.2398786544799805,1.4344615936279297,6.103388786315918,186.4516129032258,130.41935483870967
000735,matched_target_prediction,1,29,4.047124435675555,4.328913688659668,1.3958136320114136,6.12786226272583,187.27586206896552,130.41379310344828
001029,gt_target,1,78,9.847407114811432,9.591469287872314,6.254891681671142,14.069782733917236,128.76923076923077,128.82051282051282
001029,matched_target_prediction,1,77,9.880958773873068,9.56643009185791,6.213653469085694,14.097705841064455,128.92207792207793,129.0
000623,gt_target,1,15,3.6247014443079633,3.986401081085205,2.446333122253418,4.919541549682617,178.0,21.0
000623,matched_target_prediction,1,17,3.394458967096665,2.9056317806243896,1.787397336959839,4.914006519317627,178.35294117647058,20.941176470588236
000436,gt_target,1,58,4.856937630423184,4.650866508483887,2.967409348487854,7.348476552963261,71.06896551724138,51.37931034482759
000436,matched_target_prediction,1,57,4.91566839134484,4.65123987197876,2.9903086185455323,7.434158039093016,71.03508771929825,51.43859649122807
