image_name,component_type,component_id,centroid_y,centroid_x,area,compactness,bbox_fill_ratio,anisotropy,center_surround,radial_symmetry,dog_peakness,shape_score
001137,gt_target,1,32.0,231.0,9,0.7853981579432944,1.0,1.0,5.745630524923197,0.8866020305352192,1.7541862582203689,5.478607564782687
001137,matched_target_prediction,1,32.0,231.0,9,0.7853981579432944,1.0,1.0,5.745630524923197,0.8866020305352192,1.7541862582203689,5.478607564782687
000345,gt_target,1,250.0,249.0,5,0.4363323099684969,0.5555555555555556,1.0,6.536761477126533,0.8256473948348474,1.8697043648406242,5.330166706147277
000345,matched_target_prediction,1,250.0,249.0,5,0.4363323099684969,0.5555555555555556,1.0,6.536761477126533,0.8256473948348474,1.8697043648406242,5.330166706147277
000774,gt_target,1,3.3846153846153846,153.3846153846154,13,0.638136005267708,0.8125,1.3776219656711417,1.5439506064369697,0.6261161166264846,0.1445783556853841,2.1536547247250106
000774,matched_target_prediction,1,3.5625,153.625,16,0.6205615099048928,0.8,1.562965963779303,1.027262469328707,0.6840044942116121,0.07834361011810512,1.8483790054856983
000593,gt_target,1,88.08196721311475,165.29508196721312,61,0.2444351426120773,0.48412698412698413,3.8549881975526663,3.294573351609804,0.8793664015846392,0.7063610515268302,2.724243845223811
000593,matched_target_prediction,1,88.06451612903226,165.24193548387098,62,0.24844227609752118,0.49206349206349204,3.882850156301176,3.246216364615522,0.8942900340077465,0.6902040492863394,2.7063438270342264
001002,gt_target,1,238.84313725490196,143.7058823529412,51,0.1905127530148053,0.6375,32.34268491426979,2.5776859317177783,0.79082392826312,0.7669082164825816,2.05551361042094
001002,matched_target_prediction,1,238.77777777777777,143.83333333333334,54,0.25095562608152355,0.675,30.149182833308327,2.638604830940907,0.8149927314976879,0.7658533326264259,2.187257400699079
001024,gt_target,1,43.170212765957444,130.85106382978722,47,0.18833527381586285,0.39166666666666666,32.753008960446365,1.5322916716202821,0.7999454797366727,0.44224464756415305,1.2480602814323936
001024,matched_target_prediction,1,43.04545454545455,130.36363636363637,44,0.22116812272425418,0.4631578947368421,36.23811600838826,1.4058627843499745,0.8411738208300688,0.4214738912305784,1.2484855943029967
001285,gt_target,1,130.47619047619048,38.857142857142854,21,0.2932153140092526,0.5,1.7223769142067547,2.05059266017428,0.8585234213379359,0.5527727973767211,2.1926039638975796
001285,matched_target_prediction,1,130.22727272727272,38.90909090909091,22,0.35262774638172706,0.5238095238095238,1.6235771476115288,2.044716708465542,0.7356474809412535,0.5573399849997462,2.2106898208774113
000649,gt_target,1,51.666666666666664,102.5,18,0.4673443607254561,0.6,1.1406249252930085,2.566185281786982,0.7307631436271955,0.8898430302629746,2.8410036447202054
000649,gt_target,2,96.94117647058823,118.23529411764706,17,0.6593466042739486,0.85,1.8506925550990663,2.28375162055162,0.8139031075154882,0.8133569509690766,2.947518455320318
000649,matched_target_prediction,1,52.208333333333336,102.79166666666667,24,0.4461433347610604,0.5714285714285714,1.434249014777767,2.493174650808469,0.8694892064159236,0.8256398051404863,2.7719132450216
000649,matched_target_prediction,2,97.27777777777777,118.38888888888889,18,0.5654866762324461,0.75,2.093083556658255,2.3448847096571828,0.9258037616775606,0.8379144657482068,2.883992390080159
000282,gt_target,1,248.06896551724137,83.37931034482759,58,0.2499483866196446,0.5918367346938775,6.296763611118539,1.145627429185014,0.8574615002717745,0.32424659279589313,1.4335291467607538
000282,matched_target_prediction,1,248.03389830508473,83.22033898305085,59,0.2542578415613626,0.5619047619047619,7.302821910219568,1.224153931292998,0.8589871668517398,0.3230082011275428,1.4400457466746024
000037,gt_target,1,122.0,122.0,9,0.7853981579432944,1.0,1.0,4.572762637192176,0.8572198617844466,1.2120214656029795,4.606400140233096
000037,matched_target_prediction,1,122.0,122.0,9,0.7853981579432944,1.0,1.0,4.572762637192176,0.8572198617844466,1.2120214656029795,4.606400140233096
001150,gt_target,1,88.0,89.0,9,0.7853981579432944,1.0,1.0,8.493827396357018,0.8508547722372184,1.4923550308985023,6.703916757689663
001150,matched_target_prediction,1,88.0,89.0,9,0.7853981579432944,1.0,1.0,8.493827396357018,0.8508547722372184,1.4923550308985023,6.703916757689663
001124,gt_target,1,97.0,200.0,9,0.7853981579432944,1.0,1.0,6.587135114862273,0.871871720822208,1.329535840019906,5.679669495795488
001124,matched_target_prediction,1,97.0,200.0,9,0.7853981579432944,1.0,1.0,6.587135114862273,0.871871720822208,1.329535840019906,5.679669495795488
001185,gt_target,1,124.0,168.0,9,0.7853981579432944,1.0,1.0,8.51377516948398,0.8687079425107611,1.6317276484328844,6.792503538157106
001185,gt_target,2,166.0,194.0,9,0.7853981579432944,1.0,1.0,8.28267557784501,0.8740791081163779,1.575320644860761,6.651435823354369
001185,matched_target_prediction,1,124.0,168.0,9,0.7853981579432944,1.0,1.0,8.51377516948398,0.8687079425107611,1.6317276484328844,6.792503538157106
001185,matched_target_prediction,2,166.0,194.0,9,0.7853981579432944,1.0,1.0,8.28267557784501,0.8740791081163779,1.575320644860761,6.651435823354369
000718,gt_target,1,21.071428571428573,47.142857142857146,28,0.6108652371374854,0.8,1.7564424005898793,2.449038061904647,0.7469249227259187,0.7796718314328224,2.9141890851636534
000718,gt_target,2,245.21428571428572,162.17857142857142,28,0.6108652371374854,0.8,2.16704196382457,2.6968317097459464,0.8274428009273528,0.8345953859312142,3.074295722343762
000718,matched_target_prediction,1,21.714285714285715,47.214285714285715,28,0.6108652371374854,0.8,1.5719734260790568,2.6439816265775966,0.7839316451128193,0.8210841760679198,3.067514192616513
