image_name,component_type,component_id,centroid_y,centroid_x,area,confidence_mass,peak_prob,prob_mean,compactness,bbox_fill_ratio,anisotropy,center_surround,radial_symmetry,dog_peakness,shape_score
001137,gt_target,1,32.0,231.0,9,8.987660825252533,0.9999972581863403,0.9986289805836148,0.7853981579432944,1.0,1.0,5.745630524923197,0.8866020305352192,1.7541862582203689,5.478607564782687
001137,matched_target_prediction,1,32.0,231.0,9,8.987660825252533,0.9999972581863403,0.9986289805836148,0.7853981579432944,1.0,1.0,5.745630524923197,0.8866020305352192,1.7541862582203689,5.478607564782687
000345,gt_target,1,250.0,249.0,5,4.998436391353607,1.0,0.9996872782707215,0.4363323099684969,0.5555555555555556,1.0,6.536761477126533,0.8256473948348474,1.8697043648406242,5.330166706147277
000345,matched_target_prediction,1,250.0,249.0,5,4.998436391353607,1.0,0.9996872782707215,0.4363323099684969,0.5555555555555556,1.0,6.536761477126533,0.8256473948348474,1.8697043648406242,5.330166706147277
000774,gt_target,1,3.3846153846153846,153.3846153846154,13,12.99025571346283,0.9999864101409912,0.9992504394971408,0.638136005267708,0.8125,1.3776219656711417,1.5439506064369697,0.6261161166264846,0.1445783556853841,2.1536547247250106
000774,matched_target_prediction,1,3.5625,153.625,16,15.75687450170517,0.9999864101409912,0.9848046563565731,0.6205615099048928,0.8,1.562965963779303,1.027262469328707,0.6840044942116121,0.07834361011810512,1.8483790054856983
000593,gt_target,1,88.08196721311475,165.29508196721312,61,60.995268285274506,1.0,0.9999224309061394,0.2444351426120773,0.48412698412698413,3.8549881975526663,3.294573351609804,0.8793664015846392,0.7063610515268302,2.724243845223811
000593,matched_target_prediction,1,88.06451612903226,165.24193548387098,62,61.818935096263885,1.0,0.9970795983268369,0.24844227609752118,0.49206349206349204,3.882850156301176,3.246216364615522,0.8942900340077465,0.6902040492863394,2.7063438270342264
001002,gt_target,1,238.84313725490196,143.7058823529412,51,49.04188951360993,0.9999219179153442,0.9616056767374497,0.1905127530148053,0.6375,32.34268491426979,2.5776859317177783,0.79082392826312,0.7669082164825816,2.05551361042094
001002,matched_target_prediction,1,238.77777777777777,143.83333333333334,54,52.896229922771454,0.9999219179153442,0.9795598133846566,0.25095562608152355,0.675,30.149182833308327,2.638604830940907,0.8149927314976879,0.7658533326264259,2.187257400699079
