image_name,threshold,component_id,category,matched_target_component,unmatched_fp_component,component_area,fp_pixel_mass,mean_probability,max_probability,confidence_mass,minimum_distance_to_gt,component_center_y,component_center_x,bbox_y0,bbox_y1,bbox_x0,bbox_x1
XDU935,0.5,1,far_fp,0,1,7,7,0.9801107048988342,0.9996970891952515,6.860774993896484,221.38202275704322,37.714285714285715,396.42857142857144,36,40,396,398
XDU935,0.5,2,boundary_excess,1,0,12,4,0.9451662302017212,0.9988487958908081,3.7806649208068848,0.0,251.75,327.0833333333333,251,254,325,330
XDU672,0.5,1,far_fp,0,1,6,6,0.9531230926513672,0.9994412064552307,5.718738555908203,90.80198235721508,226.0,33.5,225,228,33,35
XDU672,0.5,2,boundary_excess,1,0,17,3,0.9706481099128723,0.9979074001312256,2.9119443893432617,0.0,295.6470588235294,150.41176470588235,294,298,148,154
XDU231,0.5,1,far_fp,0,1,2,2,0.9488317370414734,0.9633679389953613,1.8976634740829468,351.6503945682416,54.5,132.0,54,56,132,133
XDU231,0.5,2,far_fp,0,1,14,14,0.8594858050346375,0.9920713305473328,12.032801628112793,299.2824752637548,100.71428571428571,61.714285714285715,98,104,60,64
XDU231,0.5,3,boundary_excess,1,0,51,1,0.8666754364967346,0.8666754364967346,0.8666754364967346,0.0,435.37254901960785,159.07843137254903,432,440,155,164
XDU818,0.5,1,far_fp,0,1,21,21,0.7467585802078247,0.9209128618240356,15.681929588317871,322.0993635510632,8.047619047619047,431.6666666666667,4,14,430,434
XDU818,0.5,2,far_fp,0,1,8,8,0.566970705986023,0.6486397981643677,4.535765647888184,109.29318368498559,11.5,135.625,10,14,134,138
XDU818,0.5,3,far_fp,0,1,1,1,0.5272646546363831,0.5272646546363831,0.5272646546363831,339.6498196672567,12.0,450.0,12,13,450,451
XDU818,0.5,4,far_fp,0,1,74,74,0.8673418164253235,0.9971666932106018,64.18329620361328,108.45275469069469,28.04054054054054,61.91891891891892,21,34,55,69
XDU818,0.5,5,far_fp,0,1,1,1,0.5578218698501587,0.5578218698501587,0.5578218698501587,104.92378186092989,25.0,86.0,25,26,86,87
XDU818,0.5,6,far_fp,0,1,5,5,0.6570405960083008,0.8407976627349854,3.285202980041504,387.09172039711723,31.4,505.6,30,34,505,507
XDU818,0.5,7,far_fp,0,1,31,31,0.801287829875946,0.9908086657524109,24.839921951293945,89.35882720806042,39.12903225806452,80.06451612903226,33,47,78,83
XDU818,0.5,8,far_fp,0,1,34,34,0.8341794013977051,0.9835595488548279,28.36210060119629,88.19297024139736,39.61764705882353,85.17647058823529,35,46,83,90
XDU818,0.5,9,far_fp,0,1,4,4,0.883023738861084,0.9293352365493774,3.532094955444336,85.58621384311844,47.75,81.75,47,49,81,84
XDU818,0.5,10,far_fp,0,1,1,1,0.518485963344574,0.518485963344574,0.518485963344574,122.00409829181969,49.0,28.0,49,50,28,29
XDU818,0.5,11,far_fp,0,1,2,2,0.7261516451835632,0.7371951341629028,1.4523032903671265,329.73474187595093,51.5,451.0,51,53,451,452
XDU818,0.5,12,far_fp,0,1,11,11,0.6689741611480713,0.8074052333831787,7.358716011047363,94.49338601193207,60.72727272727273,51.54545454545455,58,64,51,53
XDU818,0.5,13,far_fp,0,1,13,13,0.9098495841026306,0.9905102849006653,11.828044891357422,252.74493071078598,62.23076923076923,375.53846153846155,59,66,375,377
XDU818,0.5,14,far_fp,0,1,4,4,0.9057989716529846,0.9761053919792175,3.6231958866119385,257.33441277839233,60.5,379.0,59,63,379,380
XDU818,0.5,15,far_fp,0,1,1,1,0.5052779912948608,0.5052779912948608,0.5052779912948608,158.39823231336896,64.0,276.0,64,65,276,277
XDU818,0.5,16,far_fp,0,1,1,1,0.5035260319709778,0.5035260319709778,0.5035260319709778,93.23625904121208,65.0,52.0,65,66,52,53
XDU818,0.5,17,far_fp,0,1,8,8,0.590835690498352,0.6981480717658997,4.726685523986816,122.65398485169571,72.375,12.375,70,76,12,14
