image_id,decoy_id,residual_path,mask_path,center_y,center_x,area,prob_before_max,prob_after_max,prob_after_topk,prob_gain,contrast_z,target_dilate_overlap_pixels
001137,001137_0_000000,residuals/001137_0_000000.npy,masks/001137_0_000000.npy,13,50,81.0,1.433858187738224e-07,1.0,0.9999984502792358,0.9999998566141812,-1.1006368398666382,0
001137,001137_1_000001,residuals/001137_1_000001.npy,masks/001137_1_000001.npy,0,161,46.0,3.651970104101565e-08,0.9999998807907104,0.9994062185287476,0.9999998442710094,-1.0446579456329346,0
001137,001137_2_000002,residuals/001137_2_000002.npy,masks/001137_2_000002.npy,113,28,81.0,1.7716114797394766e-08,1.0,0.9999982118606567,0.9999999822838852,-0.2561567425727844,0
000345,000345_0_000003,residuals/000345_0_000003.npy,masks/000345_0_000003.npy,124,94,81.0,1.8870119333769253e-07,0.9999998807907104,0.9999964237213135,0.9999996920895171,-0.4648256301879883,0
000345,000345_1_000004,residuals/000345_1_000004.npy,masks/000345_1_000004.npy,4,43,80.0,9.382291388249087e-09,1.0,0.9999969005584717,0.9999999906177086,-1.2562496662139893,0
000345,000345_2_000005,residuals/000345_2_000005.npy,masks/000345_2_000005.npy,5,140,81.0,3.3503738450235687e-07,0.9999997615814209,0.9999982714653015,0.9999994265440364,-0.9289100170135498,0
000774,000774_0_000006,residuals/000774_0_000006.npy,masks/000774_0_000006.npy,168,194,81.0,1.6819804216083867e-07,1.0,0.9999953508377075,0.9999998318019578,-0.974246621131897,0
000774,000774_1_000007,residuals/000774_1_000007.npy,masks/000774_1_000007.npy,61,84,81.0,5.20873477682926e-08,1.0,0.9999949932098389,0.9999999479126522,-0.5811271667480469,0
000774,000774_2_000008,residuals/000774_2_000008.npy,masks/000774_2_000008.npy,23,5,81.0,1.6817905290622548e-08,1.0,0.9999983310699463,0.9999999831820947,-0.4585537910461426,0
001002,001002_0_000009,residuals/001002_0_000009.npy,masks/001002_0_000009.npy,235,114,81.0,4.504072876443388e-06,0.9999991655349731,0.9998986124992371,0.9999946614620967,0.5436286926269531,0
001002,001002_1_000010,residuals/001002_1_000010.npy,masks/001002_1_000010.npy,171,128,81.0,3.880653366650222e-06,1.0,0.9999908208847046,0.9999961193466333,-0.4000866711139679,0
