image_name,max_prob_diff,mask_diff_pixels,suppression_max
000541,0.0,0,0.0
000832,0.0,0,0.0
000710,0.0,0,0.0
000316,0.0,0,0.0
001142,0.0,0,0.0
000409,0.0,0,0.0
000226,0.0,0,0.0
001133,0.0,0,0.0
001255,0.0,0,0.0
000558,0.0,0,0.0
001000,0.0,0,0.0
000763,0.0,0,0.0
000385,0.0,0,0.0
001319,0.0,0,0.0
000591,0.0,0,0.0
000484,0.0,0,0.0
001236,0.0,0,0.0
000334,0.0,0,0.0
000915,0.0,0,0.0
000523,0.0,0,0.0
000765,0.0,0,0.0
000215,0.0,0,0.0
000045,0.0,0,0.0
001303,0.0,0,0.0
000644,0.0,0,0.0
001190,0.0,0,0.0
001026,0.0,0,0.0
001089,0.0,0,0.0
000720,0.0,0,0.0
000195,0.0,0,0.0
000519,0.0,0,0.0
001111,0.0,0,0.0
000922,0.0,0,0.0
000965,0.0,0,0.0
000080,0.0,0,0.0
000751,0.0,0,0.0
000281,0.0,0,0.0
000849,0.0,0,0.0
000495,0.0,0,0.0
001257,0.0,0,0.0
000966,0.0,0,0.0
001267,0.0,0,0.0
000091,0.0,0,0.0
000935,0.0,0,0.0
000314,0.0,0,0.0
000128,0.0,0,0.0
001169,0.0,0,0.0
000701,0.0,0,0.0
000903,0.0,0,0.0
000144,0.0,0,0.0
000613,0.0,0,0.0
000313,0.0,0,0.0
000552,0.0,0,0.0
000787,0.0,0,0.0
000536,0.0,0,0.0
000423,0.0,0,0.0
000389,0.0,0,0.0
001235,0.0,0,0.0
000615,0.0,0,0.0
000366,0.0,0,0.0
000399,0.0,0,0.0
001155,0.0,0,0.0
000625,0.0,0,0.0
000610,0.0,0,0.0
001050,0.0,0,0.0
001148,0.0,0,0.0
000440,0.0,0,0.0
000032,0.0,0,0.0
000812,0.0,0,0.0
000830,0.0,0,0.0
000771,0.0,0,0.0
000324,0.0,0,0.0
001161,0.0,0,0.0
000209,0.0,0,0.0
000645,0.0,0,0.0
000897,0.0,0,0.0
001036,0.0,0,0.0
000200,0.0,0,0.0
000708,0.0,0,0.0
000474,0.0,0,0.0
000840,0.0,0,0.0
000554,0.0,0,0.0
000011,0.0,0,0.0
000603,0.0,0,0.0
000560,0.0,0,0.0
000550,0.0,0,0.0
000498,0.0,0,0.0
000243,0.0,0,0.0
000433,0.0,0,0.0
000106,0.0,0,0.0
000036,0.0,0,0.0
000574,0.0,0,0.0
000837,0.0,0,0.0
000608,0.0,0,0.0
000341,0.0,0,0.0
000863,0.0,0,0.0
000907,0.0,0,0.0
000600,0.0,0,0.0
000361,0.0,0,0.0
000555,0.0,0,0.0
000636,0.0,0,0.0
000509,0.0,0,0.0
000799,0.0,0,0.0
000062,0.0,0,0.0
000297,0.0,0,0.0
000933,0.0,0,0.0
000374,0.0,0,0.0
000928,0.0,0,0.0
000910,0.0,0,0.0
000131,0.0,0,0.0
000191,0.0,0,0.0
000216,0.0,0,0.0
000373,0.0,0,0.0
000556,0.0,0,0.0
000417,0.0,0,0.0
000485,0.0,0,0.0
000557,0.0,0,0.0
000153,0.0,0,0.0
000955,0.0,0,0.0
000511,0.0,0,0.0
001038,0.0,0,0.0
001239,0.0,0,0.0
000986,0.0,0,0.0
000740,0.0,0,0.0
001018,0.0,0,0.0
001068,0.0,0,0.0
000902,0.0,0,0.0
001221,0.0,0,0.0
000510,0.0,0,0.0
000212,0.0,0,0.0
000026,0.0,0,0.0
001320,0.0,0,0.0
001074,0.0,0,0.0
000189,0.0,0,0.0
000335,0.0,0,0.0
000295,0.0,0,0.0
001265,0.0,0,0.0
001206,0.0,0,0.0
000637,0.0,0,0.0
000349,0.0,0,0.0
001122,0.0,0,0.0
001178,0.0,0,0.0
000944,0.0,0,0.0
001135,0.0,0,0.0
000113,0.0,0,0.0
000041,0.0,0,0.0
000575,0.0,0,0.0
000757,0.0,0,0.0
000882,0.0,0,0.0
000917,0.0,0,0.0
000909,0.0,0,0.0
000569,0.0,0,0.0
001167,0.0,0,0.0
001212,0.0,0,0.0
000801,0.0,0,0.0
000466,0.0,0,0.0
000449,0.0,0,0.0
000913,0.0,0,0.0
000607,0.0,0,0.0
001218,0.0,0,0.0
001096,0.0,0,0.0
000850,0.0,0,0.0
001151,0.0,0,0.0
000426,0.0,0,0.0
000908,0.0,0,0.0
000286,0.0,0,0.0
001280,0.0,0,0.0
000167,0.0,0,0.0
000332,0.0,0,0.0
000499,0.0,0,0.0
001066,0.0,0,0.0
000611,0.0,0,0.0
001188,0.0,0,0.0
001238,0.0,0,0.0
001195,0.0,0,0.0
000980,0.0,0,0.0
000194,0.0,0,0.0
000315,0.0,0,0.0
000391,0.0,0,0.0
000704,0.0,0,0.0
000930,0.0,0,0.0
000150,0.0,0,0.0
000687,0.0,0,0.0
000394,0.0,0,0.0
000988,0.0,0,0.0
000535,0.0,0,0.0
001278,0.0,0,0.0
000867,0.0,0,0.0
000371,0.0,0,0.0
000355,0.0,0,0.0
000722,0.0,0,0.0
000178,0.0,0,0.0
001215,0.0,0,0.0
000747,0.0,0,0.0
001162,0.0,0,0.0
000001,0.0,0,0.0
000405,0.0,0,0.0
001097,0.0,0,0.0
000506,0.0,0,0.0
001102,0.0,0,0.0
000326,0.0,0,0.0
000737,0.0,0,0.0
000302,0.0,0,0.0
000699,0.0,0,0.0
000715,0.0,0,0.0
000874,0.0,0,0.0
000713,0.0,0,0.0
001244,0.0,0,0.0
000589,0.0,0,0.0
001144,0.0,0,0.0
001213,0.0,0,0.0
000689,0.0,0,0.0
